melanin_concentration(Cm),blood_concentration(Ch),melanin_blend(Bm),BloodOxy,epidermis_thickness(T),X,Y,Z,sR,sG,sB
0.0348679,0.032,0.728553,0.6,0.0125,31.8123,29.5179,22.2901,181.692,138.141,121.56
0.0348679,0.032,0.728553,0.6,0.005,32.5403,30.1644,22.867,183.565,139.455,123.065
0.0348679,0.032,0.728553,0.695,0.02,31.057,28.6771,22.3243,179.625,136.02,122.043
0.0348679,0.032,0.728553,0.79,0.005,30.9512,28.7178,23.5008,177.853,136.596,125.558
0.0348679,0.032,0.728553,0.885,0.0125,30.1714,27.8716,23.8927,175.27,134.517,127.073
0.0348679,0.032,0.728553,0.79,0.0125,30.453,28.1871,22.9583,176.899,135.236,124.164
0.0348679,0.032,0.728553,0.79,0.02,30.0837,27.8381,22.637,175.99,134.439,123.337
0.0348679,0.032,0.728553,0.98,0.005,30.8565,28.4478,25.5297,176.217,135.758,131.541
0.0348679,0.032,0.728553,0.98,0.0125,30.2205,27.8275,24.7638,174.89,134.274,129.62
0.0348679,0.032,1,0.6,0.005,31.1649,29.1045,21.9749,179.389,137.739,120.723
0.0348679,0.032,0.728553,0.98,0.02,29.7613,27.3857,24.3069,173.817,133.23,128.485
0.0348679,0.032,1,0.6,0.0125,30.3389,28.1798,21.3832,177.67,135.316,119.287
0.0348679,0.032,1,0.695,0.005,30.8713,28.674,22.6995,178.226,136.5,123.163
0.0348679,0.032,1,0.6,0.02,29.8354,27.7061,20.7029,176.649,134.215,117.318
0.0348679,0.032,1,0.695,0.02,29.3168,27.1189,21.3731,174.616,132.729,119.732
0.0348679,0.032,0.728553,0.885,0.005,30.8854,28.4943,24.5854,177.112,135.809,128.841
0.0348679,0.032,1,0.695,0.0125,29.9228,27.7761,21.8614,175.918,134.459,120.964
0.0348679,0.032,0.728553,0.885,0.02,29.8511,27.5322,23.173,174.981,133.596,125.091
0.0348679,0.032,1,0.79,0.005,30.7081,28.5471,23.3503,177.04,136.366,125.17
0.0348679,0.032,1,0.79,0.0125,29.9547,27.751,22.6647,175.445,134.344,123.451
0.0348679,0.032,1,0.79,0.02,29.2579,27.1131,21.8252,173.863,132.899,121.14
0.0348679,0.032,1,0.98,0.005,30.3469,28.0523,25.0731,174.723,135.077,130.395
0.0348679,0.032,1,0.98,0.02,29.0109,26.8007,23.7325,171.487,132.197,127.03
0.0348679,0.032,1,0.98,0.0125,29.5931,27.2918,24.367,173.016,133.202,128.685
0.0348679,0.05,0.5,0.6,0.005,27.0701,23.9061,17.8591,173.524,121.692,109.719
0.0348679,0.032,1,0.885,0.005,30.5651,28.4176,24.2764,175.719,136.199,127.943
0.0348679,0.05,0.5,0.6,0.02,26.6176,23.5872,18.0669,171.504,121.249,110.578
0.0348679,0.05,0.5,0.695,0.005,26.4711,23.493,18.3002,170.659,121.175,111.422
0.0348679,0.032,1,0.885,0.02,29.1747,26.9796,22.5817,173.042,132.537,123.526
0.0348679,0.05,0.5,0.6,0.0125,26.9051,23.7692,17.9829,172.806,121.423,110.215
0.0348679,0.05,0.5,0.695,0.02,26.2631,23.2575,18.4398,169.933,120.485,112.02
0.0348679,0.032,1,0.885,0.0125,29.6878,27.4851,23.1878,174.126,133.779,125.136
0.0348679,0.05,0.5,0.695,0.0125,26.5122,23.4148,18.4257,171.021,120.642,111.913
0.0348679,0.05,0.5,0.79,0.0125,26.0694,23.1132,19.0988,168.524,120.319,114.308
0.0348679,0.05,0.5,0.79,0.005,26.2541,23.3002,19.0464,169.173,120.821,114.045
0.0348679,0.05,0.5,0.79,0.02,26.0973,23.1524,19.0697,168.61,120.453,114.191
0.0348679,0.05,0.5,0.885,0.005,25.9592,23.0368,20.167,167.026,120.342,117.837
0.0348679,0.05,0.5,0.885,0.0125,25.7282,22.8106,19.9771,166.427,119.723,117.327
0.0348679,0.05,0.728553,0.6,0.005,26.6742,23.6199,17.7722,172.031,121.232,109.534
0.0348679,0.05,0.5,0.98,0.005,25.7757,22.8083,21.1537,165.583,119.719,121.065
0.0348679,0.05,0.728553,0.6,0.0125,26.2083,23.228,17.5178,170.556,120.365,108.815
0.0348679,0.05,0.5,0.885,0.02,25.5578,22.695,19.6585,166.003,119.529,116.335
0.0348679,0.05,0.5,0.98,0.0125,25.5102,22.6539,20.9844,164.515,119.601,120.587
0.0348679,0.05,0.728553,0.695,0.005,26.1272,23.1374,17.9549,169.906,120.147,110.4
0.0348679,0.05,0.728553,0.695,0.0125,25.8402,22.9215,17.9524,168.762,119.769,110.484
0.0348679,0.05,0.728553,0.6,0.02,26.0177,22.9815,17.6107,170.014,119.55,109.277
0.0348679,0.05,0.5,0.98,0.02,25.2648,22.4296,20.6769,163.922,119.015,119.717
0.0348679,0.05,0.728553,0.79,0.0125,25.5989,22.7405,18.6766,167.086,119.543,113.047
0.0348679,0.05,0.728553,0.79,0.005,26.0759,23.1915,18.866,168.556,120.707,113.478
0.0348679,0.05,0.728553,0.695,0.02,25.5556,22.7132,17.787,167.757,119.406,109.994
0.0348679,0.05,0.728553,0.79,0.02,25.3079,22.5433,18.517,165.989,119.261,112.583
0.0348679,0.05,0.728553,0.885,0.005,25.5317,22.7528,19.9107,165.413,119.959,117.114
0.0348679,0.05,0.728553,0.885,0.0125,25.1357,22.4186,19.3892,164.402,119.168,115.553
0.0348679,0.05,0.728553,0.885,0.02,25.0315,22.2466,19.2135,164.431,118.479,115.064
0.0348679,0.05,0.728553,0.98,0.005,25.4175,22.5463,20.9735,164.257,119.265,120.602
0.0348679,0.05,0.728553,0.98,0.0125,25.0105,22.2981,20.5406,162.81,118.997,119.325
0.0348679,0.05,1,0.6,0.0125,25.9396,23.0503,17.2153,169.705,120.111,107.807
0.0348679,0.05,1,0.6,0.005,26.4352,23.4313,17.4857,171.387,120.838,108.604
0.0348679,0.05,1,0.6,0.02,25.5581,22.6849,17.38,168.25,119.189,108.576
0.0348679,0.05,1,0.695,0.005,26.0628,23.0878,17.7093,169.887,120.026,109.561
0.0348679,0.05,0.728553,0.98,0.02,24.7936,22.1901,19.9195,162.351,118.942,117.368
0.0348679,0.05,1,0.695,0.0125,25.4164,22.5499,17.6435,167.508,118.873,109.575
0.0348679,0.05,1,0.79,0.005,25.5052,22.6538,18.5847,166.842,119.317,112.776
0.0348679,0.05,1,0.695,0.02,25.1849,22.3716,17.8155,166.411,118.563,110.256
0.0348679,0.05,1,0.79,0.0125,25.0795,22.2468,18.2814,165.66,118.222,111.932
0.0348679,0.05,1,0.885,0.005,25.3083,22.5169,19.5378,165.066,119.238,116.009
0.0348679,0.05,1,0.79,0.02,24.7296,21.9583,18.0171,164.553,117.575,111.15
0.0348679,0.05,1,0.885,0.0125,24.9052,22.1556,19.0286,164.078,118.309,114.486
0.0348679,0.05,1,0.885,0.02,24.5636,21.7636,18.7312,163.365,117.04,113.684
0.0348679,0.05,1,0.98,0.005,25.093,22.3127,20.407,163.437,118.822,118.906
0.0348679,0.05,1,0.98,0.0125,24.6449,21.9085,19.8633,162.308,117.773,117.337
0.0348679,0.05,1,0.98,0.02,24.3106,21.7428,19.6276,160.86,117.783,116.619
0.0348679,0.072,0.5,0.6,0.005,22.7606,19.2768,14.3058,163.738,106.992,98.922
0.0348679,0.072,0.5,0.6,0.0125,22.6574,19.3752,14.3808,162.686,107.973,99.124
0.0348679,0.072,0.5,0.6,0.02,22.7462,19.4361,14.8412,162.615,108.133,100.91
0.0348679,0.072,0.5,0.695,0.0125,22.3117,19.0659,15.0519,160.693,107.233,101.914
0.0348679,0.072,0.5,0.695,0.005,22.5004,19.1516,14.8392,161.889,107.127,101.065
0.0348679,0.072,0.5,0.695,0.02,22.3847,19.2489,15.1145,160.537,108.169,102.033
0.0348679,0.072,0.5,0.79,0.005,22.112,18.8397,15.5734,159.541,106.514,104.022
0.0348679,0.072,0.5,0.79,0.0125,21.9714,18.833,15.5753,158.613,106.94,104.007
0.0348679,0.072,0.5,0.79,0.02,21.9807,18.8988,15.8829,158.144,107.375,105.108
0.0348679,0.072,0.5,0.885,0.005,21.7436,18.6493,16.3278,156.867,106.622,106.871
0.0348679,0.072,0.5,0.885,0.0125,21.7069,18.7335,16.2768,156.395,107.278,106.619
0.0348679,0.072,0.5,0.885,0.02,21.8725,18.8558,16.7712,156.611,107.584,108.348
0.0348679,0.072,0.5,0.98,0.005,21.4897,18.4561,17.3641,154.641,106.368,110.638
0.0348679,0.072,0.5,0.98,0.02,21.6632,18.6064,17.393,155.322,106.765,110.669
0.0348679,0.072,0.728553,0.6,0.0125,22.3814,18.963,14.0413,162.502,106.192,98.023
0.0348679,0.072,0.728553,0.6,0.005,22.474,18.9825,14.197,162.89,106.03,98.654
0.0348679,0.072,0.728553,0.6,0.02,22.2137,18.8906,14.5807,161.076,106.361,100.192
0.0348679,0.072,0.5,0.98,0.0125,21.4772,18.3579,17.3118,154.935,105.764,110.52
0.0348679,0.072,0.728553,0.695,0.005,21.9852,18.7553,14.9299,159.623,106.299,101.608
0.0348679,0.072,0.728553,0.695,0.0125,21.9632,18.8147,14.718,159.505,106.727,100.736
0.0348679,0.072,0.728553,0.79,0.005,21.7539,18.6224,15.4551,157.941,106.288,103.664
0.0348679,0.072,0.728553,0.695,0.02,21.875,18.8583,14.9506,158.53,107.334,101.589
0.0348679,0.072,0.728553,0.79,0.0125,21.5269,18.5148,15.3742,156.825,106.339,103.392
0.0348679,0.072,0.728553,0.79,0.02,21.4774,18.4659,15.4015,156.615,106.191,103.521
0.0348679,0.072,0.728553,0.885,0.005,21.553,18.4803,15.9311,156.528,106.107,105.502
0.0348679,0.072,0.728553,0.885,0.0125,21.4998,18.4536,15.9599,156.218,106.117,105.617
0.0348679,0.072,0.728553,0.885,0.02,21.4926,18.5103,16.2454,155.679,106.549,106.621
0.0348679,0.072,0.728553,0.98,0.005,21.3868,18.388,17.426,154.081,106.28,110.879
0.0348679,0.072,0.728553,0.98,0.0125,21.1731,18.1989,17.3205,153.322,105.753,110.601
0.0348679,0.072,0.728553,0.98,0.02,20.9492,18.158,17.1802,152.023,106.219,110.098
0.0348679,0.072,1,0.6,0.005,22.3364,18.9539,13.839,162.439,106.254,97.199
0.0348679,0.072,1,0.6,0.0125,22.0632,18.7605,14.2774,160.796,105.978,99.06
0.0348679,0.072,1,0.6,0.02,21.905,18.7455,14.3005,159.765,106.414,99.13
0.0348679,0.072,1,0.695,0.005,22.0397,18.8986,14.6148,159.857,106.998,100.284
0.0348679,0.072,1,0.695,0.0125,21.8046,18.7457,14.5288,158.853,106.784,100.013
0.0348679,0.072,1,0.79,0.005,21.5964,18.5004,15.2926,157.433,106,103.107
0.0348679,0.072,1,0.695,0.02,21.4968,18.4274,14.8251,157.481,105.792,101.348
0.0348679,0.072,1,0.79,0.0125,21.3245,18.2886,15.1215,156.439,105.51,102.557
0.0348679,0.072,1,0.79,0.02,21.2089,18.18,15.3074,155.799,105.216,103.32
0.0348679,0.072,1,0.885,0.005,22.0695,19.0542,15.9256,158.201,108.08,105.173
0.0348679,0.072,1,0.885,0.0125,21.9455,19.0493,15.837,157.467,108.443,104.823
0.0348679,0.072,1,0.98,0.0125,22.1153,19.0661,17.8163,156.489,108.271,111.907
0.0348679,0.072,1,0.885,0.02,21.8646,18.9704,16.4827,156.488,108.298,107.231
0.0348679,0.072,1,0.98,0.02,21.7782,18.9544,17.5505,154.805,108.629,111.004
0.0348679,0.072,1,0.98,0.005,22.1498,19.0602,17.8012,156.761,108.119,111.865
0.0348679,0.098,0.5,0.695,0.005,20.2114,16.9786,12.9217,155.38,100.216,94.51
0.0348679,0.098,0.5,0.6,0.005,20.6132,17.1277,12.4607,158.139,99.736,92.505
0.0348679,0.098,0.5,0.695,0.0125,20.4773,17.4504,13.2868,155.282,102.571,95.717
0.0348679,0.098,0.5,0.6,0.0125,20.9769,17.7113,13.0059,158.159,102.549,94.438
0.0348679,0.098,0.5,0.6,0.02,20.9709,17.7771,13.3077,157.59,103.06,95.649
0.0348679,0.098,0.5,0.695,0.02,20.5456,17.5149,13.8622,154.929,102.855,98.037
0.0348679,0.098,0.5,0.79,0.005,19.8901,16.7935,13.561,153.054,100.181,97.24
0.0348679,0.098,0.5,0.79,0.0125,20.0734,17.2166,13.9167,152.543,102.495,98.389
0.0348679,0.098,0.5,0.79,0.02,20.035,17.1316,14.4108,152.015,102.126,100.408
0.0348679,0.098,0.5,0.885,0.005,19.4622,16.4103,14.5055,150.251,99.189,101.202
0.0348679,0.098,0.5,0.885,0.02,19.8327,17.036,15.0586,150.168,102.284,102.939
0.0348679,0.098,0.5,0.885,0.0125,19.8039,16.917,14.8258,150.627,101.538,102.131
0.0348679,0.098,0.5,0.98,0.005,19.3177,16.2428,15.4859,148.676,98.685,105.017
0.0348679,0.098,0.5,0.98,0.02,19.5946,16.8805,16.0233,147.878,102.209,106.593
0.0348679,0.098,0.728553,0.6,0.005,20.4868,16.997,12.4971,157.663,99.282,92.743
0.0348679,0.098,0.5,0.98,0.0125,19.6223,16.7726,15.8823,148.619,101.351,106.16
0.0348679,0.098,0.728553,0.6,0.0125,20.5346,17.2446,12.8631,156.801,100.896,94.116
0.0348679,0.098,0.728553,0.6,0.02,20.5314,17.3243,13.2428,156.117,101.514,95.646
0.0348679,0.098,0.728553,0.695,0.005,19.9741,16.6333,13.0633,154.717,98.67,95.332
0.0348679,0.098,0.728553,0.695,0.0125,20.0743,17.0158,13.3287,153.862,101.028,96.15
0.0348679,0.098,0.728553,0.695,0.02,20.1346,16.965,13.6765,154.078,100.514,97.628
0.0348679,0.098,0.728553,0.79,0.005,19.7058,16.617,13.7214,152.164,99.637,97.99
0.0348679,0.098,0.728553,0.79,0.0125,19.7563,16.8195,14.0201,151.51,100.912,99.043
0.0348679,0.098,0.728553,0.79,0.02,19.8922,16.967,14.276,151.7,101.485,99.973
0.0348679,0.098,0.728553,0.885,0.005,19.4632,16.2268,14.6027,150.78,97.895,101.716
0.0348679,0.098,0.728553,0.885,0.0125,19.5853,16.6478,14.6632,150.151,100.433,101.661
0.0348679,0.098,0.728553,0.885,0.02,19.4491,16.5985,14.7308,149.254,100.59,101.93
0.0348679,0.098,0.728553,0.98,0.0125,19.3962,16.5467,15.4455,148.238,100.53,104.664
0.0348679,0.098,0.728553,0.98,0.005,19.0844,16.0069,15.3854,147.896,97.845,104.767
0.0348679,0.098,0.728553,0.98,0.02,19.4045,16.6285,15.567,147.875,101.085,105.058
0.0348679,0.098,1,0.695,0.005,19.7622,16.4597,12.8219,154.069,98.175,94.411
0.0348679,0.098,1,0.6,0.02,20.256,16.9586,13.0446,155.624,99.934,95.053
0.0348679,0.098,1,0.6,0.0125,20.2614,16.8895,12.7155,156.238,99.378,93.719
0.0348679,0.098,1,0.695,0.02,19.5818,16.4723,13.3267,152.203,99.007,96.467
0.0348679,0.098,1,0.79,0.005,19.4042,16.1989,13.5326,151.634,97.743,97.488
0.0348679,0.098,1,0.79,0.0125,19.6202,16.6764,13.672,151.405,100.354,97.726
0.0348679,0.098,1,0.6,0.005,20.2439,16.7193,12.489,156.911,98.199,92.884
0.0348679,0.098,1,0.79,0.02,19.4334,16.5051,14.0477,150.227,99.89,99.326
0.0348679,0.098,1,0.695,0.0125,19.884,16.7214,13.0109,153.849,99.614,95.021
0.0348679,0.098,1,0.885,0.005,19.1446,16.0195,14.3942,149.414,97.554,100.998
0.0348679,0.098,1,0.885,0.0125,19.182,16.3066,14.2693,148.832,99.443,100.3
0.0348679,0.098,1,0.885,0.02,19.0571,16.3038,14.4507,147.715,99.904,100.986
0.0348679,0.098,1,0.98,0.0125,19.0996,16.1983,15.2725,147.464,99.135,104.21
0.0348679,0.098,1,0.98,0.005,18.8767,15.8253,15.303,147.088,97.296,104.549
0.0348679,0.098,1,0.98,0.02,18.9966,16.1538,15.3706,146.742,99.212,104.589
0.0348679,0.128,0.5,0.6,0.005,17.9998,14.6704,10.7004,149.876,91.256,86.064
0.0348679,0.128,0.5,0.6,0.0125,18.4198,15.2135,11.5133,150.148,93.899,89.437
0.0348679,0.128,0.5,0.695,0.0125,17.853,14.8444,11.7452,147.005,93.36,90.661
0.0348679,0.128,0.5,0.79,0.005,17.2542,14.226,11.4406,145.062,90.919,89.692
0.0348679,0.128,0.5,0.6,0.02,18.541,15.4792,11.7764,149.818,95.461,90.416
0.0348679,0.128,0.5,0.695,0.02,18.2223,15.2311,12.1227,147.954,94.899,92.079
0.0348679,0.128,0.5,0.695,0.005,17.4458,14.3067,11.0213,146.701,90.703,87.755
0.0348679,0.128,0.5,0.79,0.0125,17.5624,14.6855,12.2903,144.755,93.385,93.11
0.0348679,0.128,0.5,0.885,0.005,16.9022,13.9285,12.1378,142.625,90.127,92.933
0.0348679,0.128,0.5,0.79,0.02,17.8719,15.0561,12.6387,145.362,95.029,94.361
0.0348679,0.128,0.5,0.885,0.0125,17.3674,14.5087,12.7838,143.324,92.888,95.303
0.0348679,0.128,0.5,0.885,0.02,17.4888,14.8026,13.1328,142.771,94.695,96.542
0.0348679,0.128,0.5,0.98,0.005,16.6412,13.8144,13.171,139.754,90.473,97.296
0.0348679,0.128,0.5,0.98,0.0125,16.9382,14.3004,13.7621,139.56,93.155,99.36
0.0348679,0.128,0.5,0.98,0.02,17.2098,14.6396,14.0247,140.118,94.701,100.195
0.0348679,0.128,0.728553,0.6,0.005,17.8475,14.4265,10.447,149.894,89.907,85.043
0.0348679,0.128,0.728553,0.6,0.0125,18.202,14.9297,11.3421,149.734,92.566,88.858
0.0348679,0.128,0.728553,0.695,0.0125,17.5665,14.6154,11.413,146.057,92.685,89.303
0.0348679,0.128,0.728553,0.6,0.02,18.176,15.0556,11.5132,148.916,93.658,89.517
0.0348679,0.128,0.728553,0.79,0.005,17.0389,14.0206,11.2224,144.422,90.137,88.832
0.0348679,0.128,0.728553,0.695,0.02,17.7304,14.7431,11.833,146.347,93.086,91.108
0.0348679,0.128,0.728553,0.695,0.005,17.2213,14.1104,10.6701,146.122,90.005,86.237
0.0348679,0.128,0.728553,0.885,0.005,16.6633,13.7885,11.9304,141.531,89.959,92.096
0.0348679,0.128,0.728553,0.79,0.0125,17.2679,14.4893,11.8338,143.754,92.972,91.22
0.0348679,0.128,0.728553,0.885,0.0125,17.0976,14.3573,12.8123,141.756,92.801,95.485
0.0348679,0.128,0.728553,0.98,0.005,16.3442,13.5938,12.9953,138.433,89.909,96.688
0.0348679,0.128,0.728553,0.885,0.02,17.0879,14.4248,12.9919,141.213,93.384,96.174
0.0348679,0.128,0.728553,0.79,0.02,17.1901,14.4567,12.223,142.812,93.096,92.926
0.0348679,0.128,0.728553,0.98,0.0125,16.6851,14.1571,13.5318,138.362,93.021,98.497
0.0348679,0.128,0.728553,0.98,0.02,16.8996,14.3936,13.717,138.954,94.006,99.101
0.0348679,0.128,1,0.6,0.005,17.641,14.2948,10.2999,149.008,89.682,84.404
0.0348679,0.128,1,0.695,0.005,16.9416,13.8997,10.72,144.705,89.486,86.594
0.0348679,0.128,1,0.6,0.0125,17.971,14.7616,11.1123,148.887,92.151,87.898
0.0348679,0.128,1,0.6,0.02,17.7942,14.7056,11.4393,147.408,92.479,89.397
0.0348679,0.128,1,0.695,0.0125,17.3033,14.3917,11.363,144.929,92,89.209
0.0348679,0.128,1,0.79,0.005,16.632,13.6614,11.1732,142.663,88.936,88.827
0.0348679,0.128,1,0.695,0.02,17.3429,14.5831,11.8026,144.024,93.386,91.02
0.0348679,0.128,1,0.79,0.0125,16.8754,14.1632,11.772,141.989,92.012,91.134
0.0348679,0.128,1,0.79,0.02,16.9276,14.2609,12.1315,141.603,92.62,92.634
0.0348679,0.128,1,0.885,0.0125,16.8485,14.1529,12.5384,140.894,92.171,94.445
0.0348679,0.128,1,0.885,0.005,16.4369,13.6376,11.9009,140.349,89.683,92.043
0.0348679,0.128,1,0.885,0.02,16.8426,14.1808,12.8621,140.35,92.465,95.778
0.0348679,0.128,1,0.98,0.005,16.2474,13.5279,12.9427,137.97,89.773,96.503
0.0348679,0.128,1,0.98,0.0125,16.4801,13.9476,13.2981,137.799,92.185,97.674
0.0348679,0.128,1,0.98,0.02,16.5338,14.0783,13.6196,137.331,93.03,98.878
0.0348679,0.162,0.5,0.6,0.005,15.9754,12.7967,9.02791,143.309,84.159,79.015
0.0348679,0.162,0.5,0.6,0.0125,16.4515,13.3501,10.1989,143.566,86.977,84.494
0.0348679,0.162,0.5,0.79,0.005,15.0509,12.2273,9.94275,137.012,83.538,83.944
0.0348679,0.162,0.5,0.695,0.02,16.3604,13.5314,11.0159,141.215,88.991,88.156
0.0348679,0.162,0.5,0.695,0.0125,16.0616,13.1532,10.5473,140.844,87.078,86.241
0.0348679,0.162,0.5,0.79,0.02,15.9338,13.2189,11.4158,138.517,88.316,90.141
0.0348679,0.162,0.5,0.79,0.0125,15.6463,12.9231,11.1309,137.683,87.056,89.046
0.0348679,0.162,0.5,0.6,0.02,16.7385,13.7601,10.7852,143.584,89.219,86.975
0.0348679,0.162,0.5,0.695,0.005,15.5876,12.5814,9.51865,140.493,84.123,81.644
0.0348679,0.162,0.5,0.885,0.005,14.5728,11.9628,10.3052,133.631,83.455,85.812
0.0348679,0.162,0.5,0.885,0.0125,15.1366,12.5955,11.2762,134.588,86.548,89.866
0.0348679,0.162,0.5,0.98,0.005,14.3074,11.7366,10.9598,131.43,82.803,88.988
0.0348679,0.162,0.5,0.98,0.0125,15.0831,12.6136,11.975,133.164,87.056,92.912
0.0348679,0.162,0.5,0.885,0.02,15.5631,13.1072,11.6249,135.667,89,91.079
0.0348679,0.162,0.5,0.98,0.02,15.3243,12.9685,12.4601,133.149,89.025,94.741
0.0348679,0.162,0.728553,0.6,0.005,15.8051,12.6108,8.97092,142.743,83.299,78.857
0.0348679,0.162,0.728553,0.6,0.0125,16.27,13.2358,9.91084,142.926,86.754,83.149
0.0348679,0.162,0.728553,0.695,0.005,15.2271,12.2183,9.41707,139.121,82.561,81.39
0.0348679,0.162,0.728553,0.79,0.005,14.813,12.0505,9.78783,135.946,83.038,83.291
0.0348679,0.162,0.728553,0.695,0.0125,15.7368,12.9337,10.5406,139.102,86.648,86.329
0.0348679,0.162,0.728553,0.695,0.02,15.8374,13.1328,10.6518,139.014,87.882,86.696
0.0348679,0.162,0.728553,0.79,0.0125,15.4055,12.7267,10.8792,136.797,86.411,88.011
0.0348679,0.162,0.728553,0.6,0.02,16.4394,13.5521,10.5635,142.299,88.747,86.048
0.0348679,0.162,0.728553,0.79,0.02,15.5682,13.0497,11.1754,136.502,88.433,89.118
0.0348679,0.162,0.728553,0.885,0.0125,14.9257,12.4553,11.2449,133.417,86.281,89.797
0.0348679,0.162,0.728553,0.885,0.005,14.4271,11.762,10.4026,133.079,82.373,86.419
0.0348679,0.162,0.728553,0.98,0.005,14.1472,11.6197,10.9844,130.493,82.507,89.164
0.0348679,0.162,0.728553,0.885,0.02,15.2052,12.8564,11.576,133.74,88.458,90.993
0.0348679,0.162,0.728553,0.98,0.0125,14.7797,12.4094,11.7393,131.715,86.619,91.991
0.0348679,0.162,0.728553,0.98,0.02,14.9997,12.7397,12.1859,131.669,88.482,93.693
0.0348679,0.162,1,0.6,0.005,15.5949,12.4575,8.82977,141.844,82.879,78.21
0.0348679,0.162,1,0.6,0.0125,15.9776,12.9379,9.93459,141.725,85.527,83.472
0.0348679,0.162,1,0.6,0.02,16.0591,13.3149,10.4863,140.293,88.404,85.805
0.0348679,0.162,1,0.695,0.005,15.004,12.2233,9.2961,137.455,83.59,80.71
0.0348679,0.162,1,0.695,0.0125,15.2362,12.548,10.3578,136.762,85.547,85.691
0.0348679,0.162,1,0.79,0.0125,14.8835,12.3613,10.6856,134.161,85.57,87.314
0.0348679,0.162,1,0.79,0.005,14.4512,11.8231,9.74721,133.888,82.674,83.214
0.0348679,0.162,1,0.695,0.02,15.4071,12.8586,10.7084,136.513,87.467,87.102
0.0348679,0.162,1,0.885,0.0125,14.4535,12.0573,11.2712,130.965,84.985,90.148
0.0348679,0.162,1,0.885,0.005,13.9375,11.52,10.3291,129.958,82.455,86.171
0.0348679,0.162,1,0.98,0.005,13.8389,11.4374,11.1621,128.31,82.338,90.05
0.0348679,0.162,1,0.98,0.0125,14.0897,11.7195,11.8446,128.416,83.806,92.868
0.0348679,0.162,1,0.79,0.02,15.0803,12.771,10.9556,133.833,88.176,88.243
0.0348679,0.162,1,0.98,0.02,14.3235,12.0811,12.0261,128.72,85.896,93.401
0.0348679,0.162,1,0.885,0.02,14.6949,12.5901,11.6738,130.331,88.453,91.532
0.0348679,0.2,0.5,0.6,0.0125,14.2635,11.3508,9.10202,135.019,79.153,80.379
0.0348679,0.2,0.5,0.6,0.005,13.8246,10.7706,7.95774,135.122,75.541,74.726
0.0348679,0.2,0.5,0.6,0.02,14.8431,12.081,9.85445,135.99,83.182,83.597
0.0348679,0.2,0.5,0.695,0.005,13.3797,10.4738,8.20016,132.251,74.934,76.254
0.0348679,0.2,0.5,0.695,0.0125,13.9498,11.2054,9.19442,132.846,79.326,80.91
0.0348679,0.2,0.5,0.885,0.005,12.6145,10.096,9.34457,125.541,75.356,82.391
0.0348679,0.2,0.5,0.695,0.02,14.5878,12.0113,9.93607,134.04,83.739,83.996
0.0348679,0.2,0.5,0.79,0.02,14.0344,11.6453,10.2028,130.452,83.092,85.481
0.0348679,0.2,0.5,0.885,0.0125,13.1782,10.8784,10.1879,126.111,80.186,85.9
0.0348679,0.2,0.5,0.79,0.005,12.9974,10.2819,8.88226,128.817,75.138,79.966
0.0348679,0.2,0.5,0.79,0.0125,13.5449,10.9778,9.72647,129.586,79.264,83.678
0.0348679,0.2,0.5,0.885,0.02,13.6146,11.4885,10.6184,126.839,83.696,87.474
0.0348679,0.2,0.5,0.98,0.005,12.3499,9.984,9.87831,122.831,75.713,85.038
0.0348679,0.2,0.5,0.98,0.02,13.4395,11.3403,11.2502,125.007,83.315,90.433
0.0348679,0.2,0.5,0.98,0.0125,12.9294,10.6854,10.6237,124.059,79.683,88.047
0.0348679,0.2,0.728553,0.6,0.005,13.5488,10.5902,7.93559,133.561,75.163,74.716
0.0348679,0.2,0.728553,0.695,0.005,13.0701,10.3647,8.11831,130.139,75.418,75.831
0.0348679,0.2,0.728553,0.6,0.02,14.4892,11.7473,9.67216,134.603,81.813,82.925
0.0348679,0.2,0.728553,0.6,0.0125,14.0746,11.1888,8.89618,134.35,78.51,79.425
0.0348679,0.2,0.728553,0.695,0.0125,13.6301,11.0619,9.18607,130.703,79.524,80.923
0.0348679,0.2,0.728553,0.885,0.005,12.3853,9.94792,9.15112,124.357,75.021,81.503
0.0348679,0.2,0.728553,0.885,0.0125,12.8658,10.7172,9.90731,124.351,80.131,84.627
0.0348679,0.2,0.728553,0.695,0.02,13.9473,11.569,9.74997,130.615,82.729,83.338
0.0348679,0.2,0.728553,0.79,0.005,12.8112,10.1969,8.64939,127.842,75.198,78.787
0.0348679,0.2,0.728553,0.79,0.02,13.7523,11.4479,10.1238,128.913,82.622,85.215
0.0348679,0.2,0.728553,0.98,0.005,12.1429,9.75399,10.1982,121.445,74.569,86.714
0.0348679,0.2,0.728553,0.885,0.02,13.3608,11.3336,10.3542,125.576,83.437,86.316
0.0348679,0.2,0.728553,0.98,0.02,13.0868,11.145,11.1944,122.678,83.189,90.27
0.0348679,0.2,0.728553,0.79,0.0125,13.3592,10.9211,9.43378,128.585,79.567,82.237
0.0348679,0.2,0.728553,0.98,0.0125,12.7592,10.6,10.9883,122.327,79.78,89.74
0.0348679,0.2,1,0.6,0.02,14.2442,11.5517,9.38002,133.704,81.137,81.591
0.0348679,0.2,1,0.6,0.005,13.4648,10.4902,7.67836,133.586,74.546,73.344
0.0348679,0.2,1,0.6,0.0125,13.9388,11.1639,8.74654,133.503,78.902,78.629
